DATE,SEC_ID,SEC_NM,OPEN,HIGH,LOW,CLOSE,NUM_SHARES,AMOUNT,NUM_TRANSACTIONS
2018-02-06,300502,新易盛,21.12,21.96,20.57,20.75,23323.0,49721488.0,3639
2018-02-07,300502,新易盛,21.6,21.6,19.76,21.17,24162.0,50501460.0,3862
2018-02-08,300502,新易盛,21.16,22.64,21.11,22.42,37471.0,82622600.0,5938
2018-02-09,300502,新易盛,22.04,23.01,21.66,22.13,43036.0,95896880.0,6150
2018-02-12,300502,新易盛,22.56,23.16,22.36,23.01,35716.0,81666800.0,4738
2018-02-13,300502,新易盛,23.06,23.06,22.37,22.51,25636.0,58223440.0,3591
2018-02-14,300502,新易盛,22.45,22.7,21.97,22.22,14427.0,32011764.0,2894
2018-02-22,300502,新易盛,22.56,23.36,21.98,23.07,24127.0,55220976.0,3241
2018-02-23,300502,新易盛,22.94,23.26,22.76,23.08,19188.0,44146768.0,2864
2018-02-26,300502,新易盛,23.34,25.28,23.01,24.94,59543.0,144974368.0,7816
2018-02-27,300502,新易盛,24.64,25.96,24.28,25.27,70620.0,178488416.0,8743
2018-02-28,300502,新易盛,24.86,26.1,24.56,25.57,56472.0,144598624.0,9342
2018-03-01,300502,新易盛,25.46,26.02,25.27,25.92,37413.0,96180448.0,5406
2018-03-02,300502,新易盛,25.7,25.99,24.66,24.89,43974.0,111452704.0,6482
2018-03-05,300502,新易盛,24.78,26.58,24.78,26.46,62893.0,162003328.0,8522
2018-03-06,300502,新易盛,26.66,27.24,25.97,26.22,55761.0,147385840.0,9082
2018-03-07,300502,新易盛,26.06,26.37,25.33,25.78,38161.0,98152000.0,6605
2018-03-08,300502,新易盛,25.64,26.05,25.34,26.0,30233.0,77625336.0,4985
2018-03-09,300502,新易盛,25.84,27.16,25.76,27.02,69767.0,185737744.0,9059
2018-03-12,300502,新易盛,27.03,27.5,26.46,27.04,61832.0,166453536.0,8335
2018-03-13,300502,新易盛,26.67,27.05,26.35,26.35,40735.0,108143584.0,4959
2018-03-14,300502,新易盛,26.17,26.39,25.78,25.79,32193.0,83658288.0,3937
2018-03-15,300502,新易盛,25.56,25.77,24.98,25.6,29996.0,76190632.0,3945
2018-03-16,300502,新易盛,25.65,25.74,25.1,25.11,20396.0,51635920.0,2889
2018-03-19,300502,新易盛,24.95,25.58,24.94,25.17,20521.0,51846048.0,2947
2018-03-20,300502,新易盛,24.92,25.1,23.69,24.15,44701.0,108215344.0,5822
2018-03-21,300502,新易盛,24.3,24.81,23.81,23.88,31897.0,77948248.0,4914
2018-03-22,300502,新易盛,23.79,24.13,23.16,23.71,46532.0,109703472.0,5969
2018-03-23,300502,新易盛,22.76,22.93,21.32,21.44,53986.0,119098368.0,6789
2018-03-26,300502,新易盛,20.91,21.82,20.06,21.75,43383.0,90985200.0,5371
2018-03-27,300502,新易盛,21.94,22.86,21.94,22.66,50625.0,113838680.0,5803
2018-03-28,300502,新易盛,22.16,23.21,21.98,22.28,47013.0,105616832.0,5984
2018-03-29,300502,新易盛,22.55,22.94,22.28,22.5,38020.0,85848608.0,4118
2018-03-30,300502,新易盛,22.69,23.71,22.59,23.65,57121.0,132899672.0,7080
2018-04-02,300502,新易盛,23.66,24.97,23.31,24.86,78078.0,189406416.0,9725
2018-04-03,300502,新易盛,24.28,24.64,23.76,24.53,58162.0,140442416.0,7564
2018-04-04,300502,新易盛,24.37,24.73,23.95,23.95,37609.0,91228328.0,5129
2018-04-09,300502,新易盛,23.76,24.16,22.76,23.42,35428.0,82919912.0,4631
2018-04-10,300502,新易盛,22.12,22.43,21.05,21.05,79287.0,168347072.0,9074
2018-04-11,300502,新易盛,20.74,21.32,20.51,21.17,61296.0,127704664.0,8814
2018-04-12,300502,新易盛,20.98,21.19,20.71,20.83,33201.0,69598800.0,4483
2018-04-13,300502,新易盛,21.04,21.11,20.56,20.61,31471.0,65404568.0,4205
2018-04-16,300502,新易盛,20.61,21.25,20.41,21.16,37606.0,78931656.0,5183
2018-04-17,300502,新易盛,23.3,23.3,21.9,22.21,131198.0,298112128.0,12234
2018-04-18,300502,新易盛,24.46,24.46,22.84,24.46,198610.0,483192416.0,10947
2018-04-19,300502,新易盛,25.26,25.26,23.64,24.1,248194.0,608383744.0,26943
2018-04-20,300502,新易盛,23.16,23.38,22.21,22.46,128904.0,294015712.0,18045
2018-04-23,300502,新易盛,22.11,22.36,21.27,21.83,73518.0,159784864.0,9911
2018-04-24,300502,新易盛,21.82,22.68,21.56,22.36,69909.0,154892112.0,9535
2018-04-25,300502,新易盛,21.95,23.21,21.76,22.76,96805.0,219258896.0,12376
2018-04-26,300502,新易盛,22.56,22.56,20.59,20.97,70478.0,153938352.0,10014
2018-04-27,300502,新易盛,21.26,21.46,20.77,21.13,37217.0,78661512.0,4823
2018-05-02,300502,新易盛,21.11,21.24,19.76,19.9,51419.0,104737168.0,7217
2018-05-03,300502,新易盛,19.9,20.37,19.58,20.33,36911.0,73945952.0,5224
2018-05-04,300502,新易盛,20.15,20.26,19.91,19.93,28674.0,57451444.0,3871
2018-05-07,300502,新易盛,20.01,20.41,19.97,20.33,28019.0,56721572.0,3774
2018-05-08,300502,新易盛,20.38,20.67,20.36,20.66,29266.0,60009980.0,3840
2018-05-09,300502,新易盛,20.46,20.89,20.26,20.81,33740.0,69513360.0,4381
2018-05-10,300502,新易盛,20.73,21.46,20.73,21.15,48606.0,102729704.0,6070
2018-05-11,300502,新易盛,21.2,21.21,20.43,20.48,39073.0,80810064.0,5030
2018-05-14,300502,新易盛,20.86,21.34,20.52,20.65,38582.0,80885704.0,4811
2018-05-15,300502,新易盛,20.48,20.51,19.96,20.34,43680.0,88192448.0,5173
2018-05-16,300502,新易盛,20.34,20.42,19.98,20.07,27014.0,54287296.0,3669
2018-05-17,300502,新易盛,20.05,20.26,19.9,20.1,21348.0,42729120.0,2776
2018-05-18,300502,新易盛,20.07,20.24,19.91,20.11,18559.0,37304960.0,2611
2018-05-21,300502,新易盛,20.56,21.04,20.39,20.78,47994.0,99781448.0,5973
2018-05-22,300502,新易盛,21.01,22.74,21.01,21.94,96392.0,210006288.0,12992
2018-05-23,300502,新易盛,22.26,22.44,21.07,21.09,66351.0,143300896.0,8808
2018-05-24,300502,新易盛,21.1,21.5,21.03,21.04,33513.0,71060160.0,4544
2018-05-25,300502,新易盛,21.13,21.13,20.28,20.45,40900.0,83776352.0,6071
2018-05-28,300502,新易盛,20.48,21.15,20.48,20.75,33543.0,69913392.0,4798
2018-05-29,300502,新易盛,20.53,20.75,20.26,20.27,29029.0,59414812.0,4012
2018-05-30,300502,新易盛,18.89,18.94,18.22,18.22,59184.0,109383624.0,7520
2018-05-31,300502,新易盛,18.36,18.59,16.76,17.86,36202.0,65103276.0,4775
2018-06-01,300502,新易盛,17.66,17.81,17.06,17.3,24280.0,42389712.0,3366
2018-06-04,300502,新易盛,17.46,17.69,17.27,17.46,16042.0,28043868.0,2164
2018-06-05,300502,新易盛,17.47,18.07,17.47,18.05,21429.0,38300220.0,3095
2018-06-06,300502,新易盛,18.08,18.43,18.03,18.18,27686.0,50470312.0,3250
2018-06-07,300502,新易盛,18.18,18.38,17.68,17.88,20981.0,37544780.0,3202
2018-06-08,300502,新易盛,18.03,18.43,17.88,18.12,28042.0,50911856.0,3569
2018-06-11,300502,新易盛,17.98,18.38,17.63,18.12,21190.0,38236384.0,2711
2018-06-12,300502,新易盛,18.2,18.2,17.49,18.03,20787.0,37176096.0,3038
2018-06-13,300502,新易盛,17.71,18.32,17.63,17.68,22262.0,39911916.0,2923
2018-06-14,300502,新易盛,17.65,17.88,17.46,17.62,12807.0,22632438.0,1931
2018-06-15,300502,新易盛,17.78,17.91,16.88,17.14,24262.0,41807488.0,2998
2018-06-19,300502,新易盛,16.24,16.6,15.41,15.41,25832.0,41008772.0,3582
2018-06-20,300502,新易盛,15.38,15.48,13.89,14.89,40308.0,59611428.0,4966
2018-06-21,300502,新易盛,14.75,14.96,13.48,13.52,37640.0,53099024.0,4435
2018-06-22,300502,新易盛,13.03,13.8,12.89,13.72,23641.0,31961028.0,2991
2018-06-25,300502,新易盛,13.88,14.09,13.63,13.73,18926.0,26285156.0,2404
2018-06-26,300502,新易盛,13.45,14.25,13.45,14.13,19749.0,27650260.0,2834
2018-06-27,300502,新易盛,14.18,14.53,14.04,14.23,18541.0,26504080.0,3358
2018-06-28,300502,新易盛,14.18,14.63,14.06,14.22,17381.0,24924290.0,2794
2018-06-29,300502,新易盛,14.14,14.86,14.14,14.67,25566.0,37297532.0,3107
2018-07-02,300502,新易盛,14.77,14.99,14.35,14.48,17253.0,25282966.0,2692
2018-07-03,300502,新易盛,14.68,15.23,14.39,15.23,31274.0,46398392.0,3945
2018-07-04,300502,新易盛,15.58,15.63,14.58,14.75,35062.0,52763584.0,4718
2018-07-05,300502,新易盛,14.48,14.61,13.38,13.86,29814.0,41929176.0,4208
2018-07-06,300502,新易盛,13.85,14.37,13.65,14.16,23506.0,33080800.0,3174
2018-07-09,300502,新易盛,14.19,14.48,14.04,14.45,13879.0,19957090.0,1663
2018-07-10,300502,新易盛,14.46,14.66,14.36,14.55,15415.0,22307256.0,2085
2018-07-11,300502,新易盛,14.37,14.37,13.33,13.8,24829.0,34346340.0,3111
2018-07-12,300502,新易盛,14.26,15.19,14.24,15.19,26308.0,39383912.0,2279
2018-07-13,300502,新易盛,15.49,15.55,14.88,14.96,63059.0,95854176.0,7630
2018-07-16,300502,新易盛,15.03,15.57,15.03,15.18,41618.0,63635620.0,5410
2018-07-17,300502,新易盛,15.18,15.29,14.72,14.92,29462.0,44133492.0,4041
2018-07-18,300502,新易盛,14.96,15.38,14.68,14.68,25230.0,37926448.0,3469
2018-07-19,300502,新易盛,14.83,15.63,14.74,15.04,47644.0,72398392.0,5298
2018-07-20,300502,新易盛,14.88,15.01,13.54,14.78,37655.0,55002172.0,4629
2018-07-23,300502,新易盛,14.98,15.26,14.78,14.94,32106.0,48189672.0,3997
2018-07-24,300502,新易盛,14.33,14.88,14.33,14.8,34130.0,50097424.0,4174
2018-07-25,300502,新易盛,14.73,15.13,14.58,14.78,25680.0,38186168.0,2965
2018-07-26,300502,新易盛,14.69,14.85,14.32,14.43,19937.0,28899924.0,2587
2018-07-27,300502,新易盛,14.46,14.66,14.33,14.54,17451.0,25317008.0,3000
2018-07-30,300502,新易盛,14.53,14.53,13.68,13.83,26448.0,37048308.0,4237
