行业代码,行业名称,股票代码,股票名称
801080,电子,002106,莱宝高科
801080,电子,002119,康强电子
801080,电子,002134,天津普林
801080,电子,002138,顺络电子
801080,电子,002139,拓邦股份
801080,电子,002141,贤丰控股
801080,电子,002156,通富微电
801080,电子,002161,远望谷
801080,电子,002185,华天科技
801080,电子,002189,中光学
801080,电子,002199,东晶电子
801080,电子,002214,大立科技
801080,电子,002217,合力泰
801080,电子,002222,福晶科技
801080,电子,002236,大华股份
801080,电子,002241,歌尔股份
801080,电子,002257,立立电子(I
801080,电子,002273,水晶光电
801080,电子,002288,超华科技
801080,电子,002289,ST宇顺
801080,电子,002351,漫步者
801080,电子,002369,卓翼科技
801080,电子,002371,北方华创
801080,电子,002384,东山精密
801080,电子,002387,维信诺
801080,电子,002388,新亚制程
801080,电子,002402,和而泰
801080,电子,002409,雅克科技
801080,电子,002414,高德红外
801080,电子,002415,海康威视
801080,电子,002436,兴森科技
801080,电子,002449,国星光电
801080,电子,002456,欧菲光
801080,电子,002463,沪电股份
801080,电子,002475,立讯精密
801080,电子,002484,江海股份
801080,电子,002547,春兴精工
801080,电子,002579,中京电子
801080,电子,002587,奥拓电子
801080,电子,002600,领益智造
801080,电子,002618,丹邦科技
801080,电子,002635,安洁科技
801080,电子,002636,金安国纪
801080,电子,002655,共达电声
801080,电子,002660,茂硕电源
801080,电子,002681,*ST奋达
801080,电子,002724,海洋王
801080,电子,002729,好利来
801080,电子,002745,木林森
801080,电子,002782,可立克
801080,电子,002808,恒久科技
801080,电子,002815,崇达技术
801080,电子,002841,视源股份
801080,电子,002845,同兴达
801080,电子,002850,科达利
801080,电子,002855,捷荣技术
801080,电子,002859,洁美科技
801080,电子,002861,瀛通通讯
801080,电子,002866,传艺科技
801080,电子,002869,金溢科技
801080,电子,002876,三利谱
801080,电子,002881,美格智能
801080,电子,002885,京泉华
801080,电子,002888,惠威科技
801080,电子,002913,奥士康
801080,电子,002916,深南电路
801080,电子,002922,伊戈尔
801080,电子,002925,盈趣科技
801080,电子,002937,兴瑞科技
801080,电子,002938,鹏鼎控股
801080,电子,002947,恒铭达
801080,电子,002952,亚世光电
801080,电子,002955,鸿合科技
801080,电子,002962,五方光电
801080,电子,002970,锐明技术
801080,电子,002976,瑞玛工业
801080,电子,002981,朝阳科技
801080,电子,002983,芯瑞达
801080,电子,300014,亿纬锂能
801080,电子,300032,金龙机电
801080,电子,300046,台基股份
801080,电子,300053,欧比特
801080,电子,300060,苏州恒久(I
801080,电子,300076,GQY视讯
801080,电子,300077,国民技术
801080,电子,300078,思创医惠
801080,电子,300083,劲胜智能
801080,电子,300088,长信科技
801080,电子,300102,乾照光电
801080,电子,300115,长盈精密
801080,电子,300120,经纬辉开
801080,电子,300128,锦富技术
801080,电子,300131,英唐智控
801080,电子,300136,信维通信
801080,电子,300139,晓程科技
801080,电子,300162,雷曼光电
801080,电子,300184,力源信息
801080,电子,300207,欣旺达
801080,电子,300219,鸿利智汇
801080,电子,300220,金运激光
801080,电子,300223,北京君正
801080,电子,300227,光韵达
801080,电子,300232,洲明科技
801080,电子,300241,瑞丰光电
801080,电子,300256,星星科技
801080,电子,300279,和晶科技
801080,电子,300296,利亚德
801080,电子,300301,长方集团
801080,电子,300303,聚飞光电
801080,电子,300319,麦捷科技
801080,电子,300322,硕贝德
801080,电子,300323,华灿光电
801080,电子,300327,中颖电子
801080,电子,300331,苏大维格
801080,电子,300340,科恒股份
801080,电子,300346,南大光电
801080,电子,300373,扬杰科技
801080,电子,300389,艾比森
801080,电子,300390,天华超净
801080,电子,300408,三环集团
801080,电子,300433,蓝思科技
801080,电子,300438,鹏辉能源
801080,电子,300458,全志科技
801080,电子,300460,惠伦晶体
801080,电子,300476,胜宏科技
801080,电子,300493,润欣科技
801080,电子,300516,久之洋
801080,电子,300543,朗科智能
801080,电子,300545,联得装备
801080,电子,300566,激智科技
801080,电子,300582,英飞特
801080,电子,300602,飞荣达
801080,电子,300613,富瀚微
801080,电子,300623,捷捷微电
