"OBJECT_ID","WIND_CODE","S_INFO_WINDCODE","CITICS_IND_CODE","ENTRY_DT","REMOVE_DT","CUR_SIGN","OPDATE","OPMODE"
"{74C7251D-0D75-4106-B4DF-80EAAAC1F822}","002202.SZ","002202.SZ","b10b030100","20080111",NULL,"1","2014-02-10 15:43:17","0"
"{74E780E5-D009-4CB2-B7FC-49C6E80BA239}","600721.SH","600721.SH","b10f020200","20050501","20110504","0","2017-10-16 10:21:46","0"
"{74EAC303-4407-11EA-9A63-842B2B441148}","688100.SH","688100.SH","b10r010200","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC304-4407-11EA-9A63-842B2B441148}","688158.SH","688158.SH","b10r040100","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC305-4407-11EA-9A63-842B2B441148}","688278.SH","688278.SH","b10i030100","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC306-4407-11EA-9A63-842B2B441148}","601816.SH","601816.SH","b10o010200","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC307-4407-11EA-9A63-842B2B441148}","603551.SH","603551.SH","b10g030100","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC308-4407-11EA-9A63-842B2B441148}","688178.SH","688178.SH","b104020500","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC309-4407-11EA-9A63-842B2B441148}","300813.SZ","300813.SZ","b10a020300","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC30A-4407-11EA-9A63-842B2B441148}","002971.SZ","002971.SZ","b106040700","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC30B-4407-11EA-9A63-842B2B441148}","300812.SZ","300812.SZ","b10p050200","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC30C-4407-11EA-9A63-842B2B441148}","688181.SH","688181.SH","b10p040400","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC30D-4407-11EA-9A63-842B2B441148}","002973.SZ","002973.SZ","b104020500","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC30E-4407-11EA-9A63-842B2B441148}","688081.SH","688081.SH","b10c030100","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC30F-4407-11EA-9A63-842B2B441148}","603109.SH","603109.SH","b10d030100","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC310-4407-11EA-9A63-842B2B441148}","300811.SZ","300811.SZ","b103030200","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC311-4407-11EA-9A63-842B2B441148}","688078.SH","688078.SH","b10r020200","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC312-4407-11EA-9A63-842B2B441148}","002972.SZ","002972.SZ","b10a040100","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC313-4407-11EA-9A63-842B2B441148}","688268.SH","688268.SH","b106040700","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74EAC314-4407-11EA-9A63-842B2B441148}","603995.SH","603995.SH","b105030100","20200203",NULL,"1","2020-01-31 16:57:14","0"
"{74FCF717-F6A7-42FE-AA89-F5627A3950C4}","000713.SZ","000713.SZ","b10k010100","20080501",NULL,"1","2014-02-10 15:42:45","0"
"{750A53DC-9B49-4633-86D8-EE2A7384E354}","600689.SH","600689.SH","b10e020100","20030101","20170511","0","2017-05-11 16:55:25","0"
"{751356C6-D73A-4D44-9636-2BA304014988}","000017.SZ","000017.SZ","b10a040300","20030101",NULL,"1","2014-02-10 15:43:16","0"
"{751FC1C3-AA56-4242-AD0A-1DCA6093E1D3}","600816.SH","600816.SH","b10m030100","20030101",NULL,"1","2014-02-10 15:45:59","0"
"{7533D76A-6B29-43E9-88C6-87DE0993622F}","000893.SZ","000893.SZ","b106010200","20091102",NULL,"1","2020-01-06 11:03:47","0"
"{753AC0E5-80AF-42E4-9970-2FDA58AE4D7F}","600655.SH","600655.SH","b10e010100","20030101","20191201","0","2020-02-10 17:37:54","0"
"{753EB036-F408-4170-B520-AEA59C274F24}","002177.SZ","002177.SZ","b10r010200","20071115",NULL,"1","2014-02-10 15:43:17","0"
"{7548008D-BF1E-40E9-BE2C-45BB4D95055C}","000703.SZ","000703.SZ","b108030200","20060501","20120928","0","2014-02-10 15:45:59","0"
"{7561B910-64B4-11E9-8AA1-C03FD57AD2CE}","300770.SZ","300770.SZ","b10s010200","20190424","20191201","0","2020-02-10 17:37:54","0"
"{7561B911-64B4-11E9-8AA1-C03FD57AD2CE}","603317.SH","603317.SH","b10j030200","20190424",NULL,"1","2019-04-22 12:14:50","0"
"{7561B912-64B4-11E9-8AA1-C03FD57AD2CE}","603068.SH","603068.SH","b10p010100","20190424","20191201","0","2020-02-10 17:37:54","0"
"{7561B913-64B4-11E9-8AA1-C03FD57AD2CE}","300769.SZ","300769.SZ","b106040700","20190424","20191201","0","2020-02-10 17:37:54","0"
"{7561B914-64B4-11E9-8AA1-C03FD57AD2CE}","300768.SZ","300768.SZ","b10r020200","20190424","20191201","0","2020-01-31 16:41:28","0"
"{7561B915-64B4-11E9-8AA1-C03FD57AD2CE}","603379.SH","603379.SH","b106030400","20190424","20191201","0","2020-02-10 17:37:54","0"
"{7561B916-64B4-11E9-8AA1-C03FD57AD2CE}","300767.SZ","300767.SZ","b106040500","20190424","20191201","0","2020-02-10 17:37:54","0"
"{7561B917-64B4-11E9-8AA1-C03FD57AD2CE}","002952.SZ","002952.SZ","b10p030100","20190424","20191201","0","2020-02-10 17:37:54","0"
